"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","response","position_RT","position","player","i_game","true_position","distance","last_word","stimulus","confidence_slider_self_response"
"true","fullscreen",0,2577,"0.0-0.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"",NA,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",1,6027,"0.0-1.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":3448.899999976158}]",3449,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",2,20401,"0.0-2.0-0.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":14374.300000071526}]",14374.3000000715,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",3,27371,"0.0-2.0-1.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"",6968.39999997616,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",4,28951,"0.0-3.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":1580}]",1580.10000002384,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","Hangman",5,125806,"0.0-4.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"",NA,"","","","","ZEBRA","C,D,O,L,S,I,G,E,R,Z,B,A",12,8,"false","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",6,138400,"0.0-5.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":3988.399999976158},{""page_index"":1,""viewing_time"":8604.800000071526}]",12593.6000000238,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",7,152721,"0.0-6.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"",14320.2000000477,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",8,157431,"0.0-7.0-0.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":4708.799999952316}]",4708.89999997616,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",9,162398,"0.0-7.0-1.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"",4966.39999997616,"{""Q0"":""...from the <b>upcoming tournament</b>.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",10,163624,"0.0-7.1-0.1",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":1225.8000000715256}]",1225.90000009537,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",11,168759,"0.0-7.1-1.1",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"",5133.89999997616,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",12,177786,"0.0-8.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":9026.799999952316}]",9026.89999997616,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",13,183840,"0.0-9.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"",6053,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}","[0]","true","multichoice_tournament","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",14,192667,"0.0-11.0",NA,309,"29,14,190,165,82,235,67,208,177,225,86,31,109,232,174,146,227,222,127,26,190,197,35,153,36,77,28,174,215,219,223,166",154,"66a0b3911f23dfc7665bb169","62a96f8f6ab7e0c3ce90095f","66a1189a0a0eaad223e64da0",1,0,1,"true",5,70,"[{""page_index"":0,""viewing_time"":8826.600000023842}]",8826.69999992847,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
