"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","response","position_RT","position","player","i_game","true_position","distance","last_word","stimulus","confidence_slider_self_response"
"true","fullscreen",0,4568,"0.0-0.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"",NA,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",1,14471,"0.0-1.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"[{""page_index"":0,""viewing_time"":9900.200000047684}]",9901.20000004768,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",2,49829,"0.0-2.0-0.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"[{""page_index"":0,""viewing_time"":35355.799999952316}]",35356.2999999523,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",3,68136,"0.0-2.0-1.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"",18304,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",4,72240,"0.0-3.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"[{""page_index"":0,""viewing_time"":4102.700000047684}]",4102.90000009537,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","Hangman",5,224509,"0.0-4.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"",NA,"","","","","ZEBRA","L,I,A,P,B,C,S,N,R,Z,E",11,9,"false","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",6,254675,"0.0-5.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"[{""page_index"":0,""viewing_time"":7567},{""page_index"":1,""viewing_time"":22595.099999904633}]",30164.0999999046,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",7,267635,"0.0-6.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"",12957.9000000954,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",8,273581,"0.0-7.0-0.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"[{""page_index"":0,""viewing_time"":5944.399999856949}]",5944.89999985695,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",9,279154,"0.0-7.0-1.0",NA,517,"163,15,78,244,33,118,210,143,14,34,147,83,60,95,83,46,156,156,86,150,198,136,19,179,83,21,209,126,220,68,246,177",258,"66a3ed3c5d10d0e7d8a6b9da","6630fac492718fc11f67ca05","66a4380556c9adc15e9f7f9d",1,1,0,"true",3,53,"",5571.70000004768,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
