"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","response","position_RT","position","player","i_game","true_position","distance","last_word","stimulus","confidence_slider_self_response"
"true","fullscreen",0,5093,"0.0-0.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"",NA,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",1,11139,"0.0-1.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"[{""page_index"":0,""viewing_time"":6043}]",6044,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",2,25913,"0.0-2.0-0.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"[{""page_index"":0,""viewing_time"":14769}]",14770,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",3,37960,"0.0-2.0-1.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"",12045,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",4,39290,"0.0-3.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"[{""page_index"":0,""viewing_time"":1327}]",1328,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","Hangman",5,84138,"0.0-4.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"",NA,"","","","","ZEBRA","A,L,B,R,O,C,Z,E",8,12,"false","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",6,102049,"0.0-5.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"[{""page_index"":0,""viewing_time"":3517},{""page_index"":1,""viewing_time"":14391}]",17908,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",7,113334,"0.0-6.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"",11283,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","instructions",8,115466,"0.0-7.0-0.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"[{""page_index"":0,""viewing_time"":2132}]",2132,"","","","","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
"","survey-multi-choice",9,121858,"0.0-7.0-1.0",NA,103,"3,27,74,245,25,126,195,10,146,111,72,207,64,225,26,125,188,71,0,72,162,30,64,3,183,163,192,124,93,171,27,170",51,"669a702db1122fc5150a13ce","669007f15b776f0af8ce4069","669a86840fd13a648eb5945b",1,1,0,"true",2,100,"",6390,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA
