"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","position_RT","position","player","i_game","true_position","distance","last_word","response","stimulus","confidence_slider_self_response"
"true","fullscreen",0,4481,"0.0-0.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",1,16656,"0.0-1.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":12173}]",12174,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",2,30022,"0.0-2.0-0.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":13364}]",13365,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",3,42546,"0.0-2.0-1.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",12521,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",4,50135,"0.0-3.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":7588}]",7588,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman",5,111498,"0.0-4.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","ZEBRA","E,R,S,C,N,M,F,B,Z,A",10,10,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",6,126674,"0.0-5.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":3589},{""page_index"":1,""viewing_time"":11584}]",15174,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",7,133783,"0.0-6.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",7107,"{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",8,137591,"0.0-7.0-0.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":3807}]",3807,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",9,140145,"0.0-7.0-1.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",2553,"{""Q0"":""...from the <b>upcoming tournament</b>.""}","[0]","false","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",10,142123,"0.0-7.1-0.1",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":1975.999999999971}]",1975.99999999997,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",11,147646,"0.0-7.1-1.1",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",5522,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",12,185196,"0.0-8.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":37549}]",37549,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",13,191836,"0.0-9.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",6637,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}","[0]","true","multichoice_tournament","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",14,207779,"0.0-11.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":15941.99999999997}]",15942,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",15,217673,"0.0-12.0-0.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":9893}]",9893,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman_replay",16,246923,"0.0-12.0-1.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","WRIST","E,A,O,I,P,R,T,S,W",9,11,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",17,249265,"0.0-12.0-2.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":2338}]",2341,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Guess_leaderboard",18,253857,"0.0-12.0-3.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","WRIST","",NA,NA,"",3827.99999999997,1,60,0,74,73,"",NA,"",NA
"","instructions",19,260478,"0.0-12.0-0.1",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":6617.999999999971}]",6617.99999999997,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman_replay",20,283622,"0.0-12.0-1.1",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","USAIN BOLT","E,S,I,O,U,A,N,B,L,T",10,14,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",21,285397,"0.0-12.0-2.1",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":1772}]",1773.00000000006,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Guess_leaderboard",22,287958,"0.0-12.0-3.1",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","USAIN BOLT","",NA,NA,"",1793,1,75,1,88,87,"",NA,"",NA
"","instructions",23,290263,"0.0-12.0-0.2",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":2303}]",2303,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman_replay",24,355294,"0.0-12.0-1.2",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","KENTUCKY","O,E,B,T,A,I,R,S,G,H,N,K,Y,C,U",15,7,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",25,356786,"0.0-12.0-2.2",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":1488}]",1491,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Guess_leaderboard",26,359047,"0.0-12.0-3.2",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","KENTUCKY","",NA,NA,"",1491.99999999994,1,72,2,42,41,"",NA,"",NA
"","instructions",27,361068,"0.0-12.0-0.3",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":2020.0000000000582}]",2020.00000000006,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman_replay",28,406100,"0.0-12.0-1.3",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","NECTARINE","A,E,C,I,N,T,R",7,15,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",29,407838,"0.0-12.0-2.3",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":1736}]",1737,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Guess_leaderboard",30,409903,"0.0-12.0-3.3",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","NECTARINE","",NA,NA,"",1295,1,62,3,70,69,"",NA,"",NA
"","instructions",31,418029,"0.0-12.0-0.4",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":8124}]",8124,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman_replay",32,461573,"0.0-12.0-1.4",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","THIRTY FOUR","E,A,S,N,I,R,T,H,Y,F,O,U",12,11,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",33,463164,"0.0-12.0-2.4",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"[{""page_index"":0,""viewing_time"":1590}]",1590,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Guess_leaderboard",34,465459,"0.0-12.0-3.4",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",NA,"","","","","THIRTY FOUR","",NA,NA,"",1526,1,81,4,65,64,"",NA,"",NA
"","survey-text",35,476173,"0.0-13.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",10709,"{""Q0"":""Thirty four""}","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"thirty four",NA,"",NA
"","survey-multi-choice",36,486207,"0.0-14.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",10032,"{""Q0"":""3. I would be <b>third</b> out of the six of us.""}","[0]","","self-rating","","",NA,NA,"",NA,3,NA,NA,NA,NA,"",NA,"",NA
"","html-slider-response",37,491475,"0.0-15.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",5264,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",76,"<p>Overall, how confident were you in your answer to this last question?</p>",76
"","survey-text",38,524772,"0.0-16.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",33294,"{""Q0"":""I think you would like to see how people would score others based on the practice games they participated in and their own scores.""}","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-text",39,532585,"0.0-17.0",NA,118,"62,30,150,126,155,121,62,144,143,142,174,131,199,77,186,155,204,204,230,165,83,91,75,70,43,217,153,69,55,191,225,92",59,"669a702db1122fc5150a13ce","6277f24d24ba4608b3fa016c","669e31197c0117b5bc7de1de",1,0,0,"false",3,76,"",7810,"{""Q0"":""No thank you. ""}","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
