"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","position_RT","position","player","i_game","true_position","distance","last_word","response","stimulus","confidence_slider_self_response"
"true","fullscreen","0","16237","0.0-0.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","27195","0.0-1.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","[{""page_index"":0,""viewing_time"":10955.89999999106}]","10956.59999999404","","","","","","","","","","","","","","","","","","",""
"","instructions","2","203777","0.0-2.0-0.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","[{""page_index"":0,""viewing_time"":176580.39999999106}]","176580.79999999702","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","233389","0.0-2.0-1.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","","29609.59999999404","{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","","","","","","","","","","","","","",""
"","instructions","4","235910","0.0-3.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","[{""page_index"":0,""viewing_time"":2519.2000000029802}]","2519.5","","","","","","","","","","","","","","","","","","",""
"","Hangman","5","427545","0.0-4.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","","","","","","","ZEBRA","S,N,A,L,H,W,F,Q,C,X,Z,E,B,R","14","6","false","","","","","","","","","",""
"","instructions","6","516624","0.0-5.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","[{""page_index"":0,""viewing_time"":6410.79999999702},{""page_index"":1,""viewing_time"":82665.90000000596}]","89077.59999999404","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","7","536753","0.0-6.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","","20128.29999999702","{""Q0"":""...from <b>a previous session</b> that is part of the upcoming tournament.""}","[0]","false","multichoice_leaderboard","","","","","","","","","","","","","","",""
"","instructions","8","540665","0.0-7.0-0.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","[{""page_index"":0,""viewing_time"":3910.5999999940395}]","3910.9000000059605","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","9","562155","0.0-7.0-1.0","","418","131,248,20,247,169,46,54,92,189,121,249,173,220,238,209,133,118,26,141,56,160,106,45,67,80,187,31,228,183,99,43,52","209","66a22c0758a3d5c9d26873c6","6544d818cdf50c46906dbf07","66a29f1759f27a70b71fb556","1","0","0","false","4","52","","21488.59999999404","{""Q0"":""...from the <b>upcoming tournament</b>.""}","[0]","false","multichoice_leaderboard","","","","","","","","","","","","","","",""
