"","subj_id","word","t"
"83","6629497a938b0963356f7002","USAIN BOLT",55.367799999997
"84","6629497a938b0963356f7002","HAWAII",63.847400000006
"85","6629497a938b0963356f7002","THIRTY FOUR",32.7123999999985
"86","612e44861dc0709ab9f444ba","WRIST",37.8771
"87","612e44861dc0709ab9f444ba","NECTARINE",30.7715
"88","612e44861dc0709ab9f444ba","USAIN BOLT",55.3678999999999
"89","612e44861dc0709ab9f444ba","HAWAII",63.8445
"90","612e44861dc0709ab9f444ba","THIRTY FOUR",32.7201000000001
"91","667af6df6d1e576158ef7e96","USAIN BOLT",45.3292000000011
"92","667af6df6d1e576158ef7e96","WRIST",24.7464000000004
"93","667af6df6d1e576158ef7e96","FIG",40.8713999999985
"94","667af6df6d1e576158ef7e96","HAWAII",27.3718000000007
"95","667af6df6d1e576158ef7e96","THIRTY FOUR",28.9523000000007
"96","5748814f7fd0ec000fb6e5bf","USAIN BOLT",45.3262999999523
"97","5748814f7fd0ec000fb6e5bf","WRIST",24.7604000000954
"98","5748814f7fd0ec000fb6e5bf","FIG",40.8656000000238
"99","5748814f7fd0ec000fb6e5bf","HAWAII",27.3801000000238
"100","5748814f7fd0ec000fb6e5bf","THIRTY FOUR",28.9568999999762
"101","65ad465b1c79ea32da32e582","WRIST",20.0016999999881
"102","65ad465b1c79ea32da32e582","FIG",69.9603000000119
"103","65ad465b1c79ea32da32e582","USAIN BOLT",52.9817999999821
"104","65ad465b1c79ea32da32e582","HAWAII",27.3703000000119
"105","65ad465b1c79ea32da32e582","THIRTY FOUR",32.5923000000119
"106","5d6513f46f5284000118ef1d","WRIST",20.0008000000119
"107","5d6513f46f5284000118ef1d","FIG",69.963900000006
"108","5d6513f46f5284000118ef1d","USAIN BOLT",52.982099999994
"109","5d6513f46f5284000118ef1d","HAWAII",27.3693000000119
"110","5d6513f46f5284000118ef1d","THIRTY FOUR",32.6028000000119
"111","66310bce1a0c0e0801d40dd6","WRIST",30.4387000000179
"112","66310bce1a0c0e0801d40dd6","HAWAII",27.3673999999762
"113","66310bce1a0c0e0801d40dd6","THIRTY FOUR",36.6827999999821
"114","66310bce1a0c0e0801d40dd6","FIG",35.4185
"115","66310bce1a0c0e0801d40dd6","SHAKIRA",32.875
"116","66231fc6e1ecba676935943a","WRIST",30.4367000000477
"117","66231fc6e1ecba676935943a","HAWAII",27.3756999999285
"118","66231fc6e1ecba676935943a","THIRTY FOUR",36.695
"119","66231fc6e1ecba676935943a","FIG",35.4147999999523
"120","66231fc6e1ecba676935943a","SHAKIRA",32.8751999999285
"121","66882c4e8bcda7f9bf988fe1","WRIST",27.251
"122","66882c4e8bcda7f9bf988fe1","USAIN BOLT",21.1395
"123","66882c4e8bcda7f9bf988fe1","KENTUCKY",63.0261999999881
