"success","trial_type","trial_index","time_elapsed","internal_node_id","protocol_sum","subject_identifier","subject_sum","subject_pair","STUDY_ID","PROLIFIC_PID","SESSION_ID","practice_instructions","leaderboard_instructions","bonus","reveal_word","self_rating","confidence","view_history","rt","responses","question_order","correct","test_part","word","final_keyboard_state","num_clicks","points","cheat","position_RT","position","player","i_game","true_position","distance","last_word","response","stimulus","confidence_slider_self_response"
"true","fullscreen",0,3305,"0.0-0.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",1,13402,"0.0-1.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"[{""page_index"":0,""viewing_time"":10095.300000011921}]",10095.6000000089,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",2,43107,"0.0-2.0-0.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"[{""page_index"":0,""viewing_time"":29704.70000000298}]",29705.099999994,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",3,52985,"0.0-2.0-1.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"",9877.09999999404,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}","[0]","true","multichoice_nonpretend","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",4,54550,"0.0-3.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"[{""page_index"":0,""viewing_time"":1563.8999999910593}]",1564.09999999404,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman",5,135186,"0.0-4.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"",NA,"","","","","ZEBRA","E,L,B,G,R,Z,A",7,13,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",6,154528,"0.0-5.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"[{""page_index"":0,""viewing_time"":3578.9000000059605},{""page_index"":1,""viewing_time"":15761.699999988079}]",19341.299999997,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",7,160986,"0.0-6.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"",6456.79999999702,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}","[0]","true","multichoice_leaderboard","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",8,171471,"0.0-8.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"[{""page_index"":0,""viewing_time"":10484.70000000298}]",10484.900000006,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","survey-multi-choice",9,176877,"0.0-9.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"",5405.19999998808,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}","[0]","true","multichoice_tournament","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",10,191038,"0.0-11.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"[{""page_index"":0,""viewing_time"":14160}]",14160.299999997,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","instructions",11,200552,"0.0-12.0-0.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"[{""page_index"":0,""viewing_time"":9512.79999999702}]",9513.10000000894,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA
"","Hangman_replay",12,260469,"0.0-12.0-1.0",NA,320,"165,18,219,39,65,205,32,105,62,75,22,241,152,145,231,43,159,241,44,234,215,39,97,252,94,146,210,170,243,71,64,193",160,"66a0b3911f23dfc7665bb169","6682c4fcefd32e38eb8197b2","66a1455a22da0ce26d93260a",1,0,1,"false",1,100,"",NA,"","","","","NECTARINE","P,I,E,C,N,T,A,R",8,14,"false",NA,NA,NA,NA,NA,NA,"",NA,"",NA
