success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,subject_pair,STUDY_ID,PROLIFIC_PID,SESSION_ID,practice_instructions,leaderboard_instructions,bonus,reveal_word,self_rating,confidence,view_history,rt,responses,question_order,correct,test_part,word,click_log,final_keyboard_state,num_clicks,points,cheat,position_RT,position,player,i_game,true_position,distance,last_word,response,stimulus,confidence_slider_self_response
,instructions,15,179670,0.0-12.0-2.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":4388.5}]",4388.899999991059,,,,,,,,,,,,,,,,,,,,
,Guess_leaderboard,16,189995,0.0-12.0-3.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,USAIN BOLT,,,,,,9563.79999999702,13.0,22.0,0.0,16.0,3.0,,,,
,instructions,17,193647,0.0-12.0-0.1,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":3650.9000000059605}]",3651.1000000089407,,,,,,,,,,,,,,,,,,,,
,Hangman_replay,18,224063,0.0-12.0-1.1,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,HAWAII,"{'letter': ['', 'O', 'H', 'A', 'W', 'I'], 't': [0, 13680.29999999702, 20063, 21846.20000000298, 24346.89999999106, 28397.09999999404], 'hit': [None, 0, 1, 2, 1, 2], 'asked': ['', 'O', 'OH', 'OHA', 'OHAW', 'OHAWI'], 'word_state': ['______', '______', 'H_____', 'HA_A__', 'HAWA__', 'HAWAII']}","['O', 'H', 'A', 'W', 'I']",5.0,14.0,0.0,,,,,,,,,,
,instructions,19,225591,0.0-12.0-2.1,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1526.699999988079}]",1526.8999999910593,,,,,,,,,,,,,,,,,,,,
,Guess_leaderboard,20,229329,0.0-12.0-3.1,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,HAWAII,,,,,,2972.9000000059605,3.0,9.0,1.0,56.0,53.0,,,,
,instructions,21,230630,0.0-12.0-0.2,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1300.6000000089407}]",1300.800000011921,,,,,,,,,,,,,,,,,,,,
,Hangman_replay,22,286664,0.0-12.0-1.2,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,WRIST,"{'letter': ['', 'T', 'O', 'A', 'E', 'S', 'I', 'W', 'R'], 't': [0, 8013.9000000059605, 25863.10000000894, 28612.80000001192, 35197.30000001192, 38813.40000000596, 44780.70000000298, 51380, 54013.40000000596], 'hit': [None, 1, 0, 0, 0, 1, 1, 1, 1], 'asked': ['', 'T', 'TO', 'TOA', 'TOAE', 'TOAES', 'TOAESI', 'TOAESIW', 'TOAESIWR'], 'word_state': ['_____', '____T', '____T', '____T', '____T', '___ST', '__IST', 'W_IST', 'WRIST']}","['T', 'O', 'A', 'E', 'S', 'I', 'W', 'R']",8.0,12.0,0.0,,,,,,,,,,
,instructions,23,288199,0.0-12.0-2.2,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1533.5999999940395}]",1533.7999999970198,,,,,,,,,,,,,,,,,,,,
,Guess_leaderboard,24,290912,0.0-12.0-3.2,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,WRIST,,,,,,1948.699999988079,51.0,36.0,2.0,87.0,36.0,,,,
,instructions,25,291775,0.0-12.0-0.3,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":862.1000000089407}]",862.3000000119209,,,,,,,,,,,,,,,,,,,,
,Hangman_replay,26,333549,0.0-12.0-1.3,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,NECTARINE,"{'letter': ['', 'A', 'W', 'E', 'L', 'M', 'N', 'G', 'H', 'C', 'T', 'R', 'I'], 't': [0, 1736.4000000059605, 4319.5, 6319.79999999702, 12869.60000000894, 14102.20000000298, 14686.79999999702, 24403.29999999702, 25119.60000000894, 26470.40000000596, 32303.40000000596, 37187.10000000894, 39752.79999999702], 'hit': [None, 1, 0, 2, 0, 0, 2, 0, 0, 1, 1, 1, 1], 'asked': ['', 'A', 'AW', 'AWE', 'AWEL', 'AWELM', 'AWELMN', 'AWELMNG', 'AWELMNGH', 'AWELMNGHC', 'AWELMNGHCT', 'AWELMNGHCTR', 'AWELMNGHCTRI'], 'word_state': ['_________', '____A____', '____A____', '_E__A___E', '_E__A___E', '_E__A___E', 'NE__A__NE', 'NE__A__NE', 'NE__A__NE', 'NEC_A__NE', 'NECTA__NE', 'NECTAR_NE', 'NECTARINE']}","['A', 'W', 'E', 'L', 'M', 'N', 'G', 'H', 'C', 'T', 'R', 'I']",12.0,10.0,0.0,,,,,,,,,,
,instructions,27,335447,0.0-12.0-2.3,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1897}]",1897.2000000029802,,,,,,,,,,,,,,,,,,,,
,Guess_leaderboard,28,338697,0.0-12.0-3.3,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,NECTARINE,,,,,,2491.5,24.0,95.0,3.0,65.0,41.0,,,,
,instructions,29,344679,0.0-12.0-0.4,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":5981.899999991059}]",5982.0999999940395,,,,,,,,,,,,,,,,,,,,
,Hangman_replay,30,383381,0.0-12.0-1.4,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,THIRTY FOUR,"{'letter': ['', 'E', 'A', 'I', 'T', 'H', 'R', 'Y', 'F', 'O', 'U'], 't': [0, 4382.20000000298, 8748.89999999106, 17983.29999999702, 24849.29999999702, 26765.29999999702, 29915.59999999404, 32016.39999999106, 35398.79999999702, 36065.70000000298, 36682.59999999404], 'hit': [None, 0, 0, 1, 2, 1, 2, 1, 1, 1, 1], 'asked': ['', 'E', 'EA', 'EAI', 'EAIT', 'EAITH', 'EAITHR', 'EAITHRY', 'EAITHRYF', 'EAITHRYFO', 'EAITHRYFOU'], 'word_state': ['______ ____', '______ ____', '______ ____', '__I___ ____', 'T_I_T_ ____', 'THI_T_ ____', 'THIRT_ ___R', 'THIRTY ___R', 'THIRTY F__R', 'THIRTY FO_R', 'THIRTY FOUR']}","['E', 'A', 'I', 'T', 'H', 'R', 'Y', 'F', 'O', 'U']",10.0,13.0,0.0,,,,,,,,,,
,instructions,31,384399,0.0-12.0-2.4,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1017.4000000059605}]",1017.5999999940395,,,,,,,,,,,,,,,,,,,,
,Guess_leaderboard,32,387612,0.0-12.0-3.4,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,THIRTY FOUR,,,,,,2452.0,9.0,29.0,4.0,11.0,2.0,,,,
,survey-text,33,398120,0.0-13.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,10505.70000000298,"{""Q0"":""thrity four""}",,,,,,,,,,,,,,,,thirty four,,,
,survey-multi-choice,34,405240,0.0-14.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,7118.899999991059,"{""Q0"":""3. I would be <b>third</b> out of the six of us.""}",[0],,self-rating,,,,,,,,3.0,,,,,,,,
,html-slider-response,35,408504,0.0-15.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,3262.7000000029802,,,,,,,,,,,,,,,,,,63.0,"<p>Overall, how confident were you in your answer to this last question?</p>",63.0
,survey-text,36,438632,0.0-16.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,30126.90000000596,"{""Q0"":""very interesting to play and fun""}",,,,,,,,,,,,,,,,,,,
,survey-text,37,461488,0.0-17.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,22854.40000000596,"{""Q0"":""nothing more""}",,,,,,,,,,,,,,,,,,,
,instructions,38,462672,0.0-18.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1183.1000000089407}]",1183.300000011921,,,,,,,,,,,,,,,,,,,,
