success,trial_type,trial_index,time_elapsed,internal_node_id,protocol_sum,subject_identifier,subject_sum,subject_pair,STUDY_ID,PROLIFIC_PID,SESSION_ID,practice_instructions,leaderboard_instructions,bonus,reveal_word,self_rating,confidence,view_history,rt,responses,question_order,correct,test_part,word,click_log,final_keyboard_state,num_clicks,points,cheat,position_RT,position,player,i_game,true_position,distance,last_word,response,stimulus,confidence_slider_self_response
1.0,fullscreen,0,5082,0.0-0.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,,,,,,,,,,,,,,,,
,instructions,1,6613,0.0-1.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1529.7000000029802}]",1529.9000000059605,,,,,,,,,,,,,,,,,,,,
,instructions,2,7573,0.0-2.0-0.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":959.1999999880791}]",959.5,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,23005,0.0-2.0-1.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,15431.199999988079,"{""Q0"":""... go <b>really fast</b> and finish the game as quickly as possible""}",[0],0.0,multichoice_nonpretend,,,,,,,,,,,,,,,,
,instructions,4,32949,0.0-2.1-0.1,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":9942.800000011921}]",9943.0,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,5,37726,0.0-2.1-1.1,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,4775.70000000298,"{""Q0"":""... reveal the word with as <b>few letter guesses</b> as possible""}",[0],1.0,multichoice_nonpretend,,,,,,,,,,,,,,,,
,instructions,6,38909,0.0-3.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":1182.7000000029802}]",1182.9000000059605,,,,,,,,,,,,,,,,,,,,
,Hangman,7,88712,0.0-4.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,ZEBRA,"{'letter': ['', 'F', 'R', 'N', 'A', 'I', 'S', 'O', 'B', 'Z', 'E'], 't': [0, 9138.10000000894, 12288, 20736.30000001192, 23196.60000000894, 28444.60000000894, 31270, 39212.90000000596, 41996.70000000298, 46238.10000000894, 47796.70000000298], 'hit': [None, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1], 'asked': ['', 'F', 'FR', 'FRN', 'FRNA', 'FRNAI', 'FRNAIS', 'FRNAISO', 'FRNAISOB', 'FRNAISOBZ', 'FRNAISOBZE'], 'word_state': ['_____', '_____', '___R_', '___R_', '___RA', '___RA', '___RA', '___RA', '__BRA', 'Z_BRA', 'ZEBRA']}","['F', 'R', 'N', 'A', 'I', 'S', 'O', 'B', 'Z', 'E']",10.0,10.0,0.0,,,,,,,,,,
,instructions,8,97374,0.0-5.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":2037.2000000029802},{""page_index"":1,""viewing_time"":6623.79999999702}]",8661.59999999404,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,9,102638,0.0-6.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,5263.29999999702,"{""Q0"":""...from <b>a previous session</b> that is not part of the upcoming tournament.""}",[0],1.0,multichoice_leaderboard,,,,,,,,,,,,,,,,
,instructions,10,106405,0.0-8.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":3767.1000000089407}]",3767.2000000029802,,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,11,117990,0.0-9.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,11583.59999999404,"{""Q0"":""...players' leaderboard position (in terms of <b>points</b>) in an <b>upcoming tournament.</b>""}",[0],1.0,multichoice_tournament,,,,,,,,,,,,,,,,
,instructions,12,121821,0.0-11.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":3831.2000000029802}]",3831.4000000059605,,,,,,,,,,,,,,,,,,,,
,instructions,13,125045,0.0-12.0-0.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,"[{""page_index"":0,""viewing_time"":3223.4000000059605}]",3223.6000000089407,,,,,,,,,,,,,,,,,,,,
,Hangman_replay,14,175281,0.0-12.0-1.0,,22,"[79, 200, 43, 38, 174, 203, 71, 210, 134, 140, 78, 251, 227, 88, 23, 50, 163, 231, 203, 204, 108, 46, 251, 50, 6, 44, 8, 23, 10, 5, 238, 184]",11,669a58f4f17d67c0aba4c4d3,66743dc61dc3fc51cbb8fefd,669a62d962ae11699be55bf5,2,0,0,False,3,63,,,,,,,USAIN BOLT,"{'letter': ['', 'A', 'E', 'I', 'O', 'R', 'P', 'T', 'S', 'U', 'N', 'B', 'L'], 't': [0, 6412.5999999940395, 8429.29999999702, 10761.39999999106, 12546.09999999404, 25462.29999999702, 27212.20000000298, 31378.59999999404, 38879.29999999702, 43629.29999999702, 45479.89999999106, 46979.59999999404, 48229], 'hit': [None, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1], 'asked': ['', 'A', 'AE', 'AEI', 'AEIO', 'AEIOR', 'AEIORP', 'AEIORPT', 'AEIORPTS', 'AEIORPTSU', 'AEIORPTSUN', 'AEIORPTSUNB', 'AEIORPTSUNBL'], 'word_state': ['_____ ____', '__A__ ____', '__A__ ____', '__AI_ ____', '__AI_ _O__', '__AI_ _O__', '__AI_ _O__', '__AI_ _O_T', '_SAI_ _O_T', 'USAI_ _O_T', 'USAIN _O_T', 'USAIN BO_T', 'USAIN BOLT']}","['A', 'E', 'I', 'O', 'R', 'P', 'T', 'S', 'U', 'N', 'B', 'L']",12.0,12.0,0.0,,,,,,,,,,
